112.9330545855,28.1573354200
112.9330369675,28.1573687622
112.9330155694,28.1574003413
112.9329906150,28.1574298269
112.9329623656,28.1574569104
112.9329311165,28.1574813085
112.9328971949,28.1575027660
112.9328609556,28.1575210584
112.9328227778,28.1575359943
112.9327830610,28.1575474174
112.9327422207,28.1575552082
112.9327006842,28.1575592852
112.9326588860,28.1575596058
112.9326172636,28.1575561666
112.9325762524,28.1575490036
112.9325362815,28.1575381918
112.9324977691,28.1575238441
112.9324611180,28.1575061109
112.9324267118,28.1574851775
112.9323949105,28.1574612629
112.9323660467,28.1574346175
112.9323404224,28.1574055199
112.9323183058,28.1573742746
112.9322999281,28.1573412085
112.9322854817,28.1573066675
112.9322751177,28.1572710131
112.9322689446,28.1572346182
112.9322670268,28.1571978636
112.9322693846,28.1571611339
112.9322759932,28.1571248134
112.9322867834,28.1570892821
112.9323014647,28.1570548464
112.9323171272,28.1570207370
112.9323327897,28.1569866277
112.9323484522,28.1569525183
112.9323641148,28.1569184090
112.9323797773,28.1568842996
112.9323954399,28.1568501903
112.9324111025,28.1568160810
112.9324267651,28.1567819717
112.9324424276,28.1567478624
112.9324580903,28.1567137531
112.9324737529,28.1566796439
112.9324894155,28.1566455346
112.9325050782,28.1566114254
112.9325207408,28.1565773162
112.9325364035,28.1565432070
112.9325520662,28.1565090978
112.9325677289,28.1564749886
112.9325833916,28.1564408794
112.9325990543,28.1564067702
112.9326166719,28.1563734277
112.9326380696,28.1563418483
112.9326630235,28.1563123624
112.9326912726,28.1562852785
112.9327225212,28.1562608801
112.9327564426,28.1562394223
112.9327926817,28.1562211298
112.9328308594,28.1562061939
112.9328705763,28.1561947709
112.9329114169,28.1561869803
112.9329529539,28.1561829037
112.9329947526,28.1561825836
112.9330363758,28.1561860235
112.9330773879,28.1561931873
112.9331173599,28.1562040001
112.9331558735,28.1562183488
112.9331925258,28.1562360831
112.9332269333,28.1562570177
112.9332587360,28.1562809333
112.9332876010,28.1563075798
112.9333132265,28.1563366785
112.9333353442,28.1563679247
112.9333537229,28.1564009916
112.9333681700,28.1564355332
112.9333785346,28.1564711882
112.9333847080,28.1565075834
112.9333866259,28.1565443380
112.9333842680,28.1565810676
112.9333776591,28.1566173878
112.9333668682,28.1566529185
112.9333521862,28.1566873535
112.9333365229,28.1567214622
112.9333208596,28.1567555708
112.9333051963,28.1567896795
112.9332895330,28.1568237882
112.9332738698,28.1568578969
112.9332582065,28.1568920056
112.9332425433,28.1569261144
112.9332268801,28.1569602231
112.9332112169,28.1569943318
112.9331955537,28.1570284406
112.9331798905,28.1570625494
112.9331642273,28.1570966582
112.9331485642,28.1571307670
112.9331329010,28.1571648758
112.9331172379,28.1571989846
112.9331015748,28.1572330934
112.9330859117,28.1572672023
112.9330702486,28.1573013111
112.9330545855,28.1573354200
